sample_id	phenotype
TCGA-44-3396-11A	control
TCGA-55-6971-11A	control
TCGA-44-2662-11A	control
TCGA-44-6148-11A	control
TCGA-50-5939-11A	control
TCGA-49-6744-11A	control
TCGA-50-5933-11A	control
TCGA-44-6147-11A	control
TCGA-55-6986-11A	control
TCGA-91-6847-11A	control
TCGA-44-2655-11A	control
TCGA-55-6979-11A	control
TCGA-49-6743-11A	control
TCGA-50-5931-11A	control
TCGA-38-4625-11A	control
TCGA-44-3398-11B	control
TCGA-44-2661-11A	control
TCGA-73-4676-11A	control
TCGA-44-6146-11A	control
TCGA-55-6980-11A	control
TCGA-91-6828-11A	control
TCGA-55-6982-11A	control
TCGA-55-6969-11A	control
TCGA-55-6972-11A	control
TCGA-50-5936-11A	control
TCGA-91-6849-11A	control
TCGA-38-4632-11A	control
TCGA-38-4626-11A	control
TCGA-44-2668-11A	control
TCGA-44-2657-11A	control
TCGA-38-4627-11A	control
TCGA-55-6985-11A	control
TCGA-55-6983-11A	control
TCGA-50-6595-11A	control
TCGA-50-5932-11A	control
TCGA-91-6829-11A	control
TCGA-44-6777-11A	control
TCGA-49-4512-11A	control
TCGA-50-5935-11A	control
TCGA-49-6761-11A	control
TCGA-55-6984-11A	control
TCGA-91-6831-11A	control
TCGA-44-6144-11A	control
TCGA-55-6968-11A	control
TCGA-91-6836-11A	control
TCGA-55-6978-11A	control
TCGA-49-6745-11A	control
TCGA-55-6981-11A	control
TCGA-44-6776-11A	control
TCGA-44-6145-11A	control
TCGA-44-2665-11A	control
TCGA-55-6970-11A	control
TCGA-50-5930-11A	control
TCGA-49-4490-11A	control
TCGA-44-5645-11A	control
TCGA-49-6742-11A	control
TCGA-44-6778-11A	control
TCGA-55-6975-11A	control
TCGA-91-6835-11A	control
TCGA-50-5930-01A	cancer
TCGA-97-7547-01A	cancer
TCGA-86-6851-01A	cancer
TCGA-55-8089-01A	cancer
TCGA-44-5644-01A	cancer
TCGA-44-3398-01A	cancer
TCGA-49-AARN-01A	cancer
TCGA-44-7659-01A	cancer
TCGA-44-3918-01B	cancer
TCGA-97-A4M7-01A	cancer
TCGA-75-5125-01A	cancer
TCGA-69-7763-01A	cancer
TCGA-80-5611-01A	cancer
TCGA-49-6743-01A	cancer
TCGA-73-4670-01A	cancer
TCGA-MP-A4SV-01A	cancer
TCGA-49-4488-01A	cancer
TCGA-55-7570-01A	cancer
TCGA-MP-A4TK-01A	cancer
TCGA-J2-A4AD-01A	cancer
TCGA-64-1679-01A	cancer
TCGA-97-7937-01A	cancer
TCGA-55-6981-01A	cancer
TCGA-78-7143-01A	cancer
TCGA-55-6985-01A	cancer
TCGA-86-8054-01A	cancer
TCGA-MP-A4TE-01A	cancer
TCGA-49-AAR3-01A	cancer
TCGA-55-8621-01A	cancer
TCGA-50-5939-01A	cancer
TCGA-44-6774-01A	cancer
TCGA-78-7542-01A	cancer
TCGA-05-4405-01A	cancer
TCGA-69-7978-01A	cancer
TCGA-95-7948-01A	cancer
TCGA-69-8255-01A	cancer
TCGA-67-3773-01A	cancer
TCGA-44-2665-01A	cancer
TCGA-91-6828-01A	cancer
TCGA-91-A4BD-01A	cancer
TCGA-73-4676-01A	cancer
TCGA-44-6147-01B	cancer
TCGA-86-8278-01A	cancer
TCGA-50-5066-01A	cancer
TCGA-44-A4SS-01A	cancer
TCGA-MN-A4N4-01A	cancer
TCGA-MP-A5C7-01A	cancer
TCGA-49-6761-01A	cancer
TCGA-91-6848-01A	cancer
TCGA-38-4632-01A	cancer
TCGA-91-6840-01A	cancer
TCGA-75-6214-01A	cancer
TCGA-L4-A4E6-01A	cancer
TCGA-MP-A4TJ-01A	cancer
TCGA-05-4402-01A	cancer
TCGA-91-8497-01A	cancer
TCGA-55-6987-01A	cancer
TCGA-97-A4M3-01A	cancer
TCGA-49-6745-01A	cancer
TCGA-95-A4VK-01A	cancer
TCGA-64-5779-01A	cancer
TCGA-64-1677-01A	cancer
TCGA-69-7974-01A	cancer
TCGA-55-7911-01A	cancer
TCGA-J2-8192-01A	cancer
TCGA-62-A46O-01A	cancer
TCGA-44-4112-01B	cancer
TCGA-44-3917-01B	cancer
TCGA-44-2666-01B	cancer
TCGA-55-7725-01A	cancer
TCGA-75-7025-01A	cancer
TCGA-05-4382-01A	cancer
TCGA-05-4420-01A	cancer
TCGA-55-8614-01A	cancer
TCGA-55-8616-01A	cancer
TCGA-44-2666-01A	cancer
TCGA-44-2656-01B	cancer
TCGA-55-A492-01A	cancer
TCGA-55-8301-01A	cancer
TCGA-49-AAR0-01A	cancer
TCGA-78-7537-01A	cancer
TCGA-44-3918-01A	cancer
TCGA-44-7672-01A	cancer
TCGA-67-3774-01A	cancer
TCGA-44-2662-01B	cancer
TCGA-38-4631-01A	cancer
TCGA-38-7271-01A	cancer
TCGA-44-2655-01A	cancer
TCGA-35-4123-01A	cancer
TCGA-50-5049-01A	cancer
TCGA-55-7724-01A	cancer
TCGA-44-7660-01A	cancer
TCGA-55-A48Y-01A	cancer
TCGA-78-7539-01A	cancer
TCGA-55-A491-01A	cancer
TCGA-99-8032-01A	cancer
TCGA-69-7761-01A	cancer
TCGA-50-5055-01A	cancer
TCGA-97-8175-01A	cancer
TCGA-80-5608-01A	cancer
TCGA-93-7347-01A	cancer
TCGA-MP-A4T9-01A	cancer
TCGA-86-7955-01A	cancer
TCGA-55-8511-01A	cancer
TCGA-97-8171-01A	cancer
TCGA-86-A4D0-01A	cancer
TCGA-50-7109-01A	cancer
TCGA-67-3771-01A	cancer
TCGA-75-5122-01A	cancer
TCGA-49-4486-01A	cancer
TCGA-50-5072-01A	cancer
TCGA-78-7633-01A	cancer
TCGA-73-4666-01A	cancer
TCGA-44-7669-01A	cancer
TCGA-55-6968-01A	cancer
TCGA-50-5942-01A	cancer
TCGA-55-6984-01A	cancer
TCGA-95-8039-01A	cancer
TCGA-78-7150-01A	cancer
TCGA-05-4427-01A	cancer
TCGA-55-7727-01A	cancer
TCGA-55-8094-01A	cancer
TCGA-44-6145-01A	cancer
TCGA-78-8660-01A	cancer
TCGA-L4-A4E5-01A	cancer
TCGA-53-7624-01A	cancer
TCGA-86-8585-01A	cancer
TCGA-86-7954-01A	cancer
TCGA-55-8206-01A	cancer
TCGA-MP-A4SW-01A	cancer
TCGA-S2-AA1A-01A	cancer
TCGA-55-7910-01A	cancer
TCGA-44-3917-01A	cancer
TCGA-L9-A443-01A	cancer
TCGA-L9-A8F4-01A	cancer
TCGA-O1-A52J-01A	cancer
TCGA-44-2657-01A	cancer
TCGA-MP-A4TA-01A	cancer
TCGA-44-6776-01A	cancer
TCGA-38-6178-01A	cancer
TCGA-05-5428-01A	cancer
